name,position,total_people,avg_people,max_people,min_people,std_people,median_people,processed_frames,total_frames,fps,duration_seconds,avg_confidence,processing_time,density_category
District A,"[0, 0]",771,2.241279069767442,9,0,2.637483515439118,1.0,344,1030,29.97002997002997,34.367666666666665,0.5465626848810842,13.377511,Low
District B,"[0, 1]",295,1.9536423841059603,5,0,1.1354477970939225,2.0,151,451,30.0,15.033333333333333,0.5841950738834123,6.285076,Low
District C,"[1, 0]",250,1.9083969465648856,9,0,2.3588403855646587,1.0,131,392,30.0,13.066666666666666,0.6390320147275925,5.457921,Low
District D,"[1, 1]",8752,4.856825749167592,13,0,2.3463979340393593,5.0,1802,5404,30.0,180.13333333333333,0.642676657232604,69.636749,Low
