total_people,avg_people,max_people,min_people,std_people,processed_frames,fps,duration_sec,persons_per_sec,name,position
771,2.241279069767442,9,0,2.637483515439118,344,29.97002997002997,34.434400000000004,22.390400297377038,Sur,"(0, 0)"
295,1.9536423841059603,5,0,1.1354477970939225,151,30.0,15.1,19.5364238410596,Bağlar,"(0, 1)"
250,1.9083969465648856,9,0,2.3588403855646587,131,30.0,13.1,19.083969465648856,Kayapınar,"(1, 0)"
8752,4.856825749167592,13,0,2.3463979340393593,1802,30.0,180.2,48.56825749167592,Yenişehir,"(1, 1)"
